model_name,lr,lora_r,template_type,best-val-epoch,best-val-f1,loss,accuracy,precision,recall,f1
rinna/japanese-gpt-neox-3.6b-instruction-sft,0.0005,32,2,4.0,0.9720591817102174,0.2664394171341606,0.9823369565217391,0.9817167424286074,0.9802904551108901,0.9807491518924935
rinna/japanese-gpt-neox-3.6b,0.0005,32,2,7.0,0.9676627778762603,0.1648371115974758,0.9823369565217391,0.9801636609319908,0.9787140777661717,0.9792501059515425
rinna/japanese-gpt-neox-3.6b-instruction-sft-v2,0.0005,32,2,6.0,0.972675653985774,0.31981012095575745,0.9796195652173914,0.9777368541759694,0.9776445774827304,0.9775271926753373
rinna/japanese-gpt-neox-3.6b-instruction-sft,0.0003,32,2,7.0,0.9686485164213797,0.32787014090496563,0.9782608695652174,0.9778942073351734,0.9762521364483455,0.9767732573655363
rinna/japanese-gpt-neox-3.6b-instruction-sft-v2,0.0005,32,0,4.0,0.9682461558713127,0.20200385218081268,0.9782608695652174,0.9773768891681676,0.9758336755390048,0.9763838784777862
rinna/japanese-gpt-neox-3.6b,0.0005,32,1,7.0,0.9678846385198406,0.1639369881671408,0.9782608695652174,0.97638240534396,0.9762743908538619,0.9761493114215573
rinna/japanese-gpt-neox-3.6b,0.0001,16,2,9.0,0.9660408604113118,0.0063788087471671725,0.9782608695652174,0.976619930371925,0.9763596332599563,0.9761057193958373
rinna/japanese-gpt-neox-3.6b-instruction-ppo,0.0005,32,0,9.0,0.9679531132720941,0.4019012865812882,0.9782608695652174,0.9753787573371098,0.97611312033201,0.9755680418525796
rinna/japanese-gpt-neox-3.6b,0.0005,4,2,6.0,0.9677191815950899,0.007664909829264102,0.9782608695652174,0.976347792151159,0.9751881911544387,0.9755498718770362
rinna/japanese-gpt-neox-3.6b-instruction-sft,0.0001,32,2,4.0,0.9605318576122122,0.2401500370191491,0.9796195652173914,0.9751602419692157,0.9760982653593376,0.9755137175547048
rinna/japanese-gpt-neox-3.6b,0.0005,32,0,7.0,0.9659579374780406,0.16385124040686566,0.9782608695652174,0.9763660167745071,0.9749473769760831,0.9755124813427876
rinna/japanese-gpt-neox-3.6b-instruction-sft-v2,0.0003,32,2,3.0,0.9674155025518747,0.3389512766962466,0.9769021739130435,0.9753492179924312,0.9751140443482631,0.9749045504905433
cyberagent/open-calm-3b,0.001,32,0,9.0,0.9713133198623329,0.6703556724216627,0.9769021739130435,0.9751344040320199,0.9746955834389222,0.974655353955056
rinna/japanese-gpt-neox-3.6b-instruction-sft,0.0005,32,1,4.0,0.9691398648070523,0.29038315233976947,0.9769021739130435,0.9742323906710815,0.9751161631718923,0.9744183145289749
rinna/japanese-gpt-neox-3.6b-instruction-sft,0.0003,32,1,4.0,0.9695193925554084,0.40024997877038043,0.9782608695652174,0.9753208052058626,0.9740331252580545,0.9743705672417278
cyberagent/open-calm-7b,0.001,32,1,8.0,0.9700435981349975,0.6526641016421111,0.9769021739130435,0.9750634010624606,0.9736989375253966,0.9741988682182599
rinna/japanese-gpt-neox-3.6b,0.001,4,2,9.0,0.964930746491924,0.446294411368992,0.9769021739130435,0.9761822489914098,0.972562573889033,0.9740209562719588
rinna/japanese-gpt-neox-3.6b,0.0003,4,2,3.0,0.9712207562574271,0.0030310957328132963,0.9769021739130435,0.9763959983056318,0.9723598222135378,0.9739662595223572
rinna/japanese-gpt-neox-3.6b,0.0005,64,2,8.0,0.9633302745174238,0.01878572546917459,0.9769021739130435,0.9747149740348794,0.9735082872839814,0.9739503830705272
rinna/japanese-gpt-neox-3.6b,0.001,16,2,6.0,0.9720044802852491,0.2179690236630647,0.9769021739130435,0.9758731082778743,0.9726714879177705,0.9737736732633085
rinna/japanese-gpt-neox-3.6b-instruction-sft,0.0003,32,0,8.0,0.9719762175294555,0.2313618867293648,0.9769021739130435,0.9743773454326975,0.9737555319272919,0.9736986980100907
rinna/japanese-gpt-neox-3.6b,0.001,32,2,8.0,0.9692023837818683,0.32656831326692,0.9769021739130435,0.9751131471972203,0.9726814705282213,0.9735649694748739
rinna/japanese-gpt-neox-3.6b-instruction-ppo,0.001,32,2,2.0,0.9655619050320701,0.015888806270516437,0.9769021739130435,0.9749951516665276,0.9726714879177705,0.9735509040027619
rinna/japanese-gpt-neox-3.6b-instruction-sft-v2,0.001,32,2,8.0,0.9725438343620504,0.18714660146962042,0.9769021739130435,0.9749866779059517,0.9727216887209832,0.9735157641255392
rinna/japanese-gpt-neox-3.6b-instruction-ppo,0.0003,32,0,4.0,0.9725054353288302,0.3162763429724652,0.9769021739130435,0.9734543138430379,0.9734725233130652,0.973285187874197
rinna/japanese-gpt-neox-3.6b-instruction-sft-v2,0.0003,32,1,4.0,0.9682439684934592,0.3159044929172682,0.9755434782608695,0.9728884712944704,0.9739953400099635,0.9732187292332717
rinna/japanese-gpt-neox-3.6b,0.001,32,1,7.0,0.9714318645388512,0.2791306454202403,0.9755434782608695,0.9724152726276595,0.9738750261536485,0.9730127556638624
rinna/japanese-gpt-neox-3.6b-instruction-sft-v2,0.0001,32,2,8.0,0.9689750594555091,0.3141142181728197,0.9755434782608695,0.9723586296257294,0.9737459765430239,0.9728508385305692
rinna/japanese-gpt-neox-3.6b-instruction-sft,0.001,32,1,8.0,0.9744637209605678,0.24878821165665335,0.9755434782608695,0.9732493908790878,0.9726913122530654,0.972730121283728
rinna/japanese-gpt-neox-3.6b-instruction-sft-v2,0.0003,32,0,6.0,0.9687986233803557,0.17811549228170645,0.9755434782608695,0.9735291569273782,0.9721703309136698,0.9726673672610932
rinna/japanese-gpt-neox-3.6b-instruction-sft-v2,0.0001,32,0,6.0,0.9683909078566487,0.16462933498880136,0.9755434782608695,0.9725109930252152,0.9722240838623786,0.9721541636731581
rinna/japanese-gpt-neox-3.6b-instruction-ppo,0.0003,32,1,8.0,0.9749415170556315,0.01194865029791127,0.9755434782608695,0.9703188348020095,0.973691510312087,0.9717878006990937
rinna/japanese-gpt-neox-3.6b,0.0003,32,0,5.0,0.9645283473966272,0.15691133167432703,0.9755434782608695,0.9721953631511846,0.9715047478134891,0.9716488676522962
rinna/japanese-gpt-neox-3.6b,0.0003,64,2,4.0,0.9718613181578021,0.009657896083334217,0.9741847826086957,0.9719873797705433,0.971130475382782,0.971403722348891
rinna/japanese-gpt-neox-3.6b-instruction-sft-v2,0.0005,32,1,6.0,0.9718251020165288,0.4276221731434698,0.9741847826086957,0.9729574156574005,0.9705056718297419,0.9713745384480791
rinna/japanese-gpt-neox-3.6b-instruction-sft-v2,0.001,32,1,8.0,0.9699894226985928,0.38386643451193103,0.9755434782608695,0.9720751443463548,0.9709558200763967,0.9713351985632506
rinna/japanese-gpt-neox-3.6b-instruction-ppo,0.001,32,1,5.0,0.9685081477406501,0.008664554875829945,0.9741847826086957,0.9741792493072509,0.9689479967450441,0.9710264922733737
rinna/japanese-gpt-neox-3.6b,0.0003,16,2,7.0,0.9621577166188661,0.008298115237899448,0.9741847826086957,0.9694029502224423,0.9722668390191456,0.9706962962322336
rinna/japanese-gpt-neox-3.6b-instruction-sft,0.001,32,0,9.0,0.9717641859369723,0.06899763190228006,0.9728260869565217,0.9739791588500307,0.9685356550540661,0.9705202939956362
rinna/japanese-gpt-neox-3.6b,0.0005,16,2,8.0,0.966879074026449,0.005777727650559466,0.9741847826086957,0.9716679116644971,0.9696644822549403,0.9704556034220064
rinna/japanese-gpt-neox-3.6b-instruction-ppo,0.0003,32,2,4.0,0.9692350021308259,0.009632307550181513,0.9741847826086957,0.9696371437649349,0.9709240102866123,0.9702058769346517
rinna/japanese-gpt-neox-3.6b,0.0003,32,1,5.0,0.9593703157912166,0.23152714190275772,0.9728260869565217,0.971470545705321,0.9686460024046704,0.9696150701511917
rinna/japanese-gpt-neox-3.6b-instruction-ppo,0.001,32,0,8.0,0.9699863382100157,0.39356223396632983,0.9728260869565217,0.9699883082363654,0.9696204006700901,0.9695695378054177
