model_name,lr,lora_r,template_type,best-val-epoch,best-val-f1,loss,accuracy,precision,recall,f1
rinna/japanese-gpt-neox-3.6b-instruction-sft-v2,0.0005,32,2,6.0,0.972675653985774,0.31981012095575745,0.9796195652173914,0.9777368541759694,0.9776445774827304,0.9775271926753373
rinna/japanese-gpt-neox-3.6b-instruction-sft-v2,0.0005,32,1,6.0,0.9718251020165288,0.4276221731434698,0.9741847826086957,0.9729574156574005,0.9705056718297419,0.9713745384480791
rinna/japanese-gpt-neox-3.6b-instruction-sft-v2,0.001,32,0,7.0,0.9704718337442715,0.3859038145645805,0.9714673913043478,0.9711221699533995,0.9659990027012361,0.9679901382825964
rinna/japanese-gpt-neox-3.6b-instruction-sft,0.001,32,1,8.0,0.9744637209605678,0.24878821165665335,0.9755434782608695,0.9732493908790878,0.9726913122530654,0.972730121283728
rinna/japanese-gpt-neox-3.6b-instruction-sft,0.0005,32,2,4.0,0.9720591817102174,0.2664394171341606,0.9823369565217391,0.9817167424286074,0.9802904551108901,0.9807491518924935
rinna/japanese-gpt-neox-3.6b-instruction-sft,0.0003,32,0,8.0,0.9719762175294555,0.2313618867293648,0.9769021739130435,0.9743773454326975,0.9737555319272919,0.9736986980100907
rinna/japanese-gpt-neox-3.6b-instruction-ppo,0.0003,32,1,8.0,0.9749415170556315,0.01194865029791127,0.9755434782608695,0.9703188348020095,0.973691510312087,0.9717878006990937
rinna/japanese-gpt-neox-3.6b-instruction-ppo,0.0003,32,0,4.0,0.9725054353288302,0.3162763429724652,0.9769021739130435,0.9734543138430379,0.9734725233130652,0.973285187874197
rinna/japanese-gpt-neox-3.6b-instruction-ppo,0.0003,32,2,4.0,0.9692350021308259,0.009632307550181513,0.9741847826086957,0.9696371437649349,0.9709240102866123,0.9702058769346517
rinna/japanese-gpt-neox-3.6b,0.001,32,1,7.0,0.9714318645388512,0.2791306454202403,0.9755434782608695,0.9724152726276595,0.9738750261536485,0.9730127556638624
rinna/japanese-gpt-neox-3.6b,0.001,32,2,8.0,0.9692023837818683,0.32656831326692,0.9769021739130435,0.9751131471972203,0.9726814705282213,0.9735649694748739
rinna/japanese-gpt-neox-3.6b,0.001,32,0,5.0,0.9661477517122675,0.46608543395996094,0.9714673913043478,0.9668219206511591,0.9672679680937202,0.9669080183716638
cyberagent/open-calm-7b,0.0005,32,1,9.0,0.9721767440618394,0.4630058122717816,0.970108695652174,0.9675934574125561,0.9641708318193566,0.9655370120538438
cyberagent/open-calm-7b,0.0003,32,0,7.0,0.9706802625048326,0.6126027729200281,0.970108695652174,0.9651957120265597,0.9665182555769127,0.9655961069048524
cyberagent/open-calm-7b,0.001,32,2,5.0,0.9687790086726576,0.5211613281913425,0.9728260869565217,0.9686593614999146,0.9685751576362038,0.9684875154665361
cyberagent/open-calm-3b,0.0003,32,2,6.0,0.978706517497902,0.3900306121162746,0.96875,0.9637587728670183,0.9651366691204668,0.9642023118285358
cyberagent/open-calm-3b,0.0003,32,0,8.0,0.9757983071002586,0.6012747391410496,0.9646739130434783,0.9591225228274664,0.9597275753276926,0.9591430422917269
cyberagent/open-calm-3b,0.0003,32,1,6.0,0.973837507510648,0.5647119024525518,0.96875,0.9642563514358058,0.9632628764380868,0.9634765863889336
cyberagent/open-calm-1b,0.0003,32,1,9.0,0.9354804772511817,0.4417938978775688,0.9442934782608695,0.9424439019277594,0.9380075831803892,0.939817312595081
cyberagent/open-calm-1b,0.0005,32,0,8.0,0.9288325624236864,0.46775249812913977,0.9307065217391305,0.9291389343144885,0.9239648209576914,0.9256573229890049
cyberagent/open-calm-1b,0.0005,32,2,9.0,0.9079371848176309,0.31601302520088526,0.904891304347826,0.8967762431036896,0.8983576757509568,0.8971041201211061
